value,count
"Agreement with carrier, RVU Cap",1
AOB REQUESTED,1
"CAUSALITY - NO CAUSAL RELATIONSHIP, FEE SCHEDULE",1
"CAUSALITY - NOT RELATED TO THE ACCIDENT, EUO No Show, NOT RELATED TO THE ACCIDENT",1
"CAUSALITY - NOT RELATED TO THE ACCIDENT, IME Denia",1
"CAUSALITY - NOT RELATED TO THE ACCIDENT, IME No Sh",1
"CAUSALITY - NOT RELATED TO THE ACCIDENT, No Coverage",1
"CAUSALITY - NOT RELATED TO THE ACCIDENT, NO COVERAGE - NOT ELIGIBLE INJURED PERSON, NOT RELATED TO THE ACCIDENT",1
"CAUSALITY - NOT RELATED TO THE ACCIDENT, NOT RELATED TO THE ACCIDENT",1
Claim non-compensable,1
Co-payment applied,1
"COMPLIANCE - 45-DAY RULE, DUPLICATE",1
"COMPLIANCE - 45-DAY RULE, DUPLICATE, Pharma Portio",1
"COMPLIANCE - 45-DAY RULE, Pharma Portion Denied : -",1
"Coventry Contract, CPT coding rules",1
"CPT coding rules, Deductible Applied",1
DATE OF SERVICE AFTER BENEFITS TERMINATED,1
"DEDUCTIBLE, Deductible Applied",1
"DEDUCTIBLE, FEE SCHEDULE - GROUND RULE",1
"DEDUCTIBLE, FEE SCHEDULE - GROUND RULE, FEE SCHEDULE : FEE SCHEDULE",1
"Denied, FEE SCHEDULE",1
"DME-Fee schedule rule, RVU Cap",1
"DUPLICATE PROCEDURE, EUO No Show",1
"DUPLICATE PROCEDURE, Fee Schedule Denial",1
"DUPLICATE PROCEDURE, Fee Schedule Denial, IME CUTOFF",1
"DUPLICATE PROCEDURE, Fee Schedule Denial, IME Denial",1
"DUPLICATE PROCEDURE, FEE SCHEDULE, IME CUTOFF, IME Denial",1
"DUPLICATE PROCEDURE, FEE SCHEDULE, IME No Show",1
"DUPLICATE PROCEDURE, Fee Schedule, IME No Show, No Coverage",1
"DUPLICATE PROCEDURE, FEE SCHEDULE, NEGATIVE IME, WORKERS COMP.",1
"DUPLICATE PROCEDURE, IME CUTOFF, IME Denial, IME No Show, POLICY VIOLATION",1
"DUPLICATE PROCEDURE, MATERIAL MISREPRESENTATION",1
"DUPLICATE PROCEDURE, No Denial Issued, Policy Exhausted",1
"DUPLICATE PROCEDURE, Peer Review, Policy Exhausted",1
"DUPLICATE PROCEDURE, Policy Exhausted",1
"DUPLICATE PROCEDURE, POLICY VIOLATION",1
"DUPLICATE PROCEDURE, WORKERS COMP.",1
"DUPLICATE,  120 DAYS RULE,  45 Days Rule,  DUPLICATE, 120 DAYS RULE, DUPLICATE",1
"DUPLICATE,  DUPLICATE, DUPLICATE, Pharma Portion Denied : -",1
"DUPLICATE,  DUPLICATE, DUPLICATE, POLICY VIOLATION - 120-DAY RULE",1
"DUPLICATE,  FEE SCHEDULE - GROUND RULE, PPO CONTRACT",1
"DUPLICATE,  FEE SCHEDULE, DUPLICATE",1
"DUPLICATE,  IME Cut Off,  IME Denial, IME Denial",1
"DUPLICATE,  IME Cut Off, MEDICAL NECESSITY - IME",1
"DUPLICATE,  IME Denial,  Pharma Portion Denied : -",1
"DUPLICATE,  IME Denial, FEE SCHEDULE",1
"DUPLICATE,  NO COVERAGE - IN ELIGIBLE FOR BENEFITS",1
"DUPLICATE,  Pharma Portion Denied : -, IME Denial",1
"DUPLICATE, 120 DAYS RULE",1
"DUPLICATE, COMPLIANCE - 45-DAY RULE",1
"DUPLICATE, DEDUCTIBLE",1
"DUPLICATE, EUO Pending",1
"DUPLICATE, EUO REQUESTED, NO COVERAGE - IN ELIGIBLE FOR BENEFITS",1
"DUPLICATE, FEE SCHEDULE - DUPLICATE",1
"DUPLICATE, Fee Schedule Denial",1
"DUPLICATE, FEE SCHEDULE, PPO CONTRACT",1
"DUPLICATE, Fraudulent policy procurement : -, Pharma Portion Denied : -",1
"DUPLICATE, IME CUTOFF GENERAL DENIAL",1
"DUPLICATE, IME CUTOFF, IME Denial, MEDICAL NECESSITY - IME, PPO CONTRACT",1
"DUPLICATE, IME Denial, MATERIAL MISREPRESENTATION",1
"DUPLICATE, IME Denial, MEDICAL NECESSITY - IME, PPO CONTRACT",1
"DUPLICATE, IME No Show",1
"DUPLICATE, INELIGIBLE FOR BENEFITS",1
"DUPLICATE, MATERIAL MISREPRESENTATION",1
"DUPLICATE, No Coverage",1
"DUPLICATE, NO COVERAGE - IN ELIGIBLE FOR BENEFITS",1
"DUPLICATE, NO COVERAGE - IN ELIGIBLE FOR BENEFITS, Verification Requests",1
"DUPLICATE, NO COVERAGE - POLICY EXHAUSTED",1
"DUPLICATE, POLICY VIOLATION - IME NO-SHOW",1
"DUPLICATE, PPO CONTRACT",1
"DUPLICATE, Treatment plan not consistent",1
EUO CONDUCTED FRUAD,1
"EUO CONDUCTED FRUAD, IME CUTOFF, INVESTIGATION PENDING",1
"EUO CUT OFF, EUO No Show",1
"EUO CUT OFF, EUO No Show, Fee Schedule Denial, Peer Review",1
"EUO CUT OFF, EUO Pending, EXCESSIVE TREATMENT, FEE SCHEDULE, INVESTIGATION PENDING, NO CAUSAL RELATIONSHIP, No Coverage, NOT RELATED TO THE ACCIDENT",1
"EUO CUT OFF, IME CUTOFF",1
"EUO CUT OFF, IME CUTOFF, IME Denial",1
"EUO CUT OFF, IME Denial, No Denial Issued",1
"EUO CUT OFF, IME Denial, Peer Review",1
"EUO No Show, EUO NO-SHOW, FEE SCHEDULE",1
"EUO No Show, IME CUTOFF, Peer Review",1
"EUO No Show, IME Denial, No Denial Issued, Peer Review",1
"EUO No Show, MEDICAL NECESSITY - IME",1
"EUO No Show, POLICY EXCLUSION",1
"EUO NO-SHOW, FEE SCHEDULE, LATE DENIAL, No Coverage",1
"EUO NO-SHOW, IME No Show",1
"EUO NO-SHOW, Improper licensure",1
"EUO NO-SHOW, INVESTIGATION PENDING",1
"EUO NO-SHOW, MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENTATION, Pharma Portion Denied : -",1
"EUO NO-SHOW, No Coverage",1
"EUO NO-SHOW, Pharma Portion Denied : -",1
"EUO NO-SHOW, VERIFICATION REQUEST",1
"EUO Pending, INVESTIGATION PENDING",1
"EUO REQUESTED, NO COVERAGE - INELIGIBLE FOR BENEFITS : NO COVERAGE - INELIGIBLE FOR BENEFITS",1
"EXCESSIVE TREATMENT, Fee Schedule Denial",1
"EXCESSIVE TREATMENT, FEE SCHEDULE, MEDICALLY UNNECESSARY",1
"FEE SCHEDULE - DUPLICATE, FEE SCHEDULE",1
"FEE SCHEDULE - DUPLICATE, No Coverage",1
"FEE SCHEDULE - EXCESSIVE BILLING, FEE SCHEDULE - EXCESSIVE TREATMENT",1
"FEE SCHEDULE - GROUND RULE,  IME CUTOFF, Pharma Portion Denied : -",1
"FEE SCHEDULE - GROUND RULE,  IME Denial",1
"FEE SCHEDULE - GROUND RULE,  Peer Review, Pharma Portion Denied : -",1
"FEE SCHEDULE - GROUND RULE, DME-Fee schedule rule, RVU Cap",1
"FEE SCHEDULE - GROUND RULE, Down coding of CPT",1
"FEE SCHEDULE - GROUND RULE, FEE SCHEDULE - GROUND RULE, Improper licensure",1
"FEE SCHEDULE - GROUND RULE, FEE SCHEDULE - GROUND RULE, Improper licensure, Pharma Portion Denied : -",1
"FEE SCHEDULE - GROUND RULE, INSURANCE CARRIER, Pharma Portion Denied : -, POLICY VIOLATION - 120-DAY RULE",1
"FEE SCHEDULE - GROUND RULE, INVESTIGATION",1
"FEE SCHEDULE - GROUND RULE, MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENTATION",1
"FEE SCHEDULE - GROUND RULE, MEDICAL NECESSITY - IM",1
"FEE SCHEDULE - GROUND RULE, MEDICAL NECESSITY - IME",1
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE - DUPLICATE",1
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE : FEE SCHEDULE, IME CUTOFF",1
"FEE SCHEDULE : FEE SCHEDULE, Fee Schedule Denial",1
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE, FEE SCH",1
"FEE SCHEDULE : FEE SCHEDULE, FEE SCHEDULE, Peer Review, Verification Requests",1
"FEE SCHEDULE : FEE SCHEDULE, INVESTIGATION PENDING",1
"FEE SCHEDULE : FEE SCHEDULE, MATERIAL MISREPRESENTATION",1
"FEE SCHEDULE : FEE SCHEDULE, NO COVERAGE - NOT ELI",1
"FEE SCHEDULE : FEE SCHEDULE, NO COVERAGE - POLICY",1
"FEE SCHEDULE : FEE SCHEDULE, Partially paid but EOR not received : Partially paid but EOR not received",1
"FEE SCHEDULE : FEE SCHEDULE, POLICY VIOLATION - EU",1
"FEE SCHEDULE : FEE SCHEDULE, POLICY VIOLATION - IM",1
"FEE SCHEDULE : FEE SCHEDULE, PPO CONTRACT",1
"Fee Schedule Denial, FEE SCHEDULE, NO CAUSAL RELAT",1
"Fee Schedule Denial, IME CUT OFF",1
"Fee Schedule Denial, IME CUTOFF, PEER",1
"Fee Schedule Denial, IME CUTOFF, Policy Exhausted",1
"Fee Schedule Denial, IME Denial, IME No Show, No Denial Issued",1
"Fee Schedule Denial, IME Denial, Policy Exhausted",1
"Fee Schedule Denial, MATERIAL MISREPRESENTATION",1
"Fee Schedule Denial, MEDICALLY UNNECESSARY",1
"Fee Schedule Denial, PPO CONTRACT",1
"Fee Schedule Denial, PROCEDURE CODE BILLED INVALID",1
"Fee Schedule,    Fee Schedule,   Fee Schedule,  FEE SCHEDULE,  MEDICAL NECESSITY - IME, FEE SCHEDULE",1
"Fee Schedule,    Fee Schedule,   Fee Schedule,  FEE SCHEDULE,  Partially paid but EOR not received : Partially paid but EOR not received,  Pharma Portion Denied : -, FEE SCHEDULE, Pharma Portion Denied : -",1
"Fee Schedule,    Fee Schedule,   Fee Schedule,  FEE SCHEDULE,  Pharma Portion Denied : -, EUO NO-SHOW, FEE SCHEDULE, Pharma Portion Denied : -",1
"Fee Schedule,    Fee Schedule,   Fee Schedule,  FEE SCHEDULE, FEE SCHEDULE, FEE SCHEDULE : FEE SCHEDULE",1
"Fee Schedule,    Fee Schedule,   Fee Schedule,  FEE SCHEDULE, FEE SCHEDULE, Pharma Portion Denied : -",1
"Fee Schedule,    Fee Schedule,  IME CUTOFF",1
"Fee Schedule,    Fee Schedule, FEE SCHEDULE, IME Denial",1
"Fee Schedule,    Fee Schedule, Peer Review",1
"Fee Schedule,   DUPLICATE, MEDICAL NECESSITY",1
"Fee Schedule,  120 DAYS RULE,  IME Denial",1
"Fee Schedule,  120 DAYS RULE,  IME Denial, VERIFICATION REQUEST",1
"Fee Schedule,  COMPLIANCE - 30-DAY RULE",1
"Fee Schedule,  FEE SCHEDULE",1
"Fee Schedule,  FEE SCHEDULE - GROUND RULE",1
"Fee Schedule,  FEE SCHEDULE - GROUND RULE, IME Denial, MEDICAL NECESSITY - IME",1
"Fee Schedule,  FEE SCHEDULE,  Peer Review, IME Denial",1
"Fee Schedule,  FEE SCHEDULE,  Pharma Portion Denied : -",1
"FEE SCHEDULE,  IME Cut Off,  Peer Review",1
"Fee Schedule,  IME Cut Off, 45 Day Rule, FEE SCHEDULE, IME CUTOFF, IME Denial, MEDICAL NECESSITY - IME, PPO CONTRACT",1
"FEE SCHEDULE,  IME Cut Off, IME CUT OFF",1
"Fee Schedule,  IME Cut Off, Peer Review",1
"Fee Schedule,  IME CUTOFF, IME CUTOFF",1
"Fee Schedule,  IME Denial, EUO NO-SHOW",1
"Fee Schedule,  IME Denial, No Coverage",1
"Fee Schedule,  IME Denial, VERIFICATION REQUEST",1
"FEE SCHEDULE,  MEDICAL NECESSITY - IME",1
"FEE SCHEDULE,  NO COVERAGE - NOT ELIGIBLE INJURED PERSON,  Pharma Portion Denied : -, Agreement with carrier",1
"FEE SCHEDULE,  NO COVERAGE - POLICY EXHAUSTED, NO COVERAGE - POLICY EXHAUSTED",1
"FEE SCHEDULE,  Partially paid but EOR not received : Partially paid but EOR not received,  Pharma Portion Denied : -, INVESTIGATION PENDING",1
"FEE SCHEDULE,  Partially paid but EOR not received : Partially paid but EOR not received, Agreement with carrier",1
"FEE SCHEDULE,  Partially paid but EOR not received : Partially paid but EOR not received, Requires detailed narrative reports",1
"Fee Schedule,  Peer Review",1
"FEE SCHEDULE,  Peer Review",1
"FEE SCHEDULE,  Peer Review, IME CUT OFF",1
"Fee Schedule,  Peer Review, Pharma Portion Denied : -",1
"FEE SCHEDULE,  Pharma Portion Denied : -, Agreement with carrier, DUPLICATE",1
"FEE SCHEDULE,  Pharma Portion Denied : -, Agreement with carrier, IME No Show",1
"FEE SCHEDULE,  Pharma Portion Denied : -, Agreement with carrier, NO COVERAGE - NO POLICY IN EFFECT",1
"FEE SCHEDULE,  Pharma Portion Denied : -, Agreement with carrier, NO COVERAGE - POLICY EXHAUSTED, Policy Exhausted",1
"FEE SCHEDULE,  Pharma Portion Denied : -, IME No Show",1
"FEE SCHEDULE,  Pharma Portion Denied : -, Improper licensure",1
"Fee Schedule,  Pharma Portion Denied : -, Pharma P",1
"FEE SCHEDULE,  Pharma Portion Denied : -, POLICY VIOLATION - IME NO SHOW",1
"FEE SCHEDULE,  Pharma Portion Denied, Pharma Portion Denied : Pharma Portion Denied",1
"FEE SCHEDULE, 12 unit rule, FEE SCHEDULE",1
"Fee Schedule, 12 unit rule, FEE SCHEDULE, PPO CONT",1
"FEE SCHEDULE, 45 Day Rule, IME CUT OFF",1
"FEE SCHEDULE, Agreement with carrier, EUO TESTIMONY",1
"FEE SCHEDULE, Agreement with carrier, IME CUTOFF GENERAL DENIAL",1
"Fee Schedule, Deductible Applied",1
"FEE SCHEDULE, DUPLICATE",1
"FEE SCHEDULE, DUPLICATE PROCEDURE, IME Denial",1
"FEE SCHEDULE, DUPLICATE, FEE SCHEDULE, IME Denial,",1
"Fee Schedule, EXCESSIVE TREATMENT",1
"FEE SCHEDULE, FEE SCHEDULE : FEE SCHEDULE, Partially paid but EOR not received : Partially paid but EOR not received",1
"FEE SCHEDULE, Fee Schedule Denial, IME CUTOFF, IME Denial",1
"FEE SCHEDULE, Fee Schedule Denial, IME CUTOFF, Peer Review",1
"FEE SCHEDULE, Fee Schedule Denial, NEGATIVE IME, No Coverage",1
"FEE SCHEDULE, Fee Schedule Denial, No Denial Issued",1
"FEE SCHEDULE, FEE SCHEDULE, IME CUT OFF, IME CUTOFF",1
"Fee Schedule, FEE SCHEDULE, NEGATIVE IME",1
"FEE SCHEDULE, FEE SCHEDULE, Peer Review",1
"FEE SCHEDULE, Fraud",1
"Fee Schedule, FULLY PAID AS PER EOB",1
"FEE SCHEDULE, IME",1
"FEE SCHEDULE, IME CUT OFF, IME Denial",1
"FEE SCHEDULE, IME CUT OFF, IME No Show",1
"FEE SCHEDULE, IME CUT OFF, Not an Eligible Injured Person",1
"Fee Schedule, IME CUTOFF",1
"FEE SCHEDULE, IME CUTOFF, IME Denial, Peer Review",1
"Fee Schedule, IME CUTOFF, NEGATIVE IME",1
"FEE SCHEDULE, IME Denial, MEDICAL NECESSITY - IME",1
"FEE SCHEDULE, IME Denial, NEGATIVE IME",1
"FEE SCHEDULE, IME Denial, NEGATIVE IME, No Coverage",1
"FEE SCHEDULE, IME Denial, No Coverage",1
"FEE SCHEDULE, IME Denial, Peer Review, Workers Compensation",1
"FEE SCHEDULE, IME Denial, Policy Exhausted",1
"Fee Schedule, IME No Show, IME NO-SHOW",1
"FEE SCHEDULE, IME No Show, Peer Review, Policy Exh",1
"FEE SCHEDULE, IME, IME CUT OFF",1
"Fee Schedule, Improper CPT code",1
"FEE SCHEDULE, IMPROPER FEE SCHEDULE",1
"FEE SCHEDULE, INCORRECT CARRIER, NEGATIVE IME",1
"FEE SCHEDULE, INELIGIBLE FOR BENEFITS",1
"FEE SCHEDULE, LATE DENIAL, NEGATIVE IME",1
"FEE SCHEDULE, LATE DENIAL, NEGATIVE IME, PEER",1
"Fee Schedule, MEDICAL NECESSITY - IME",1
"FEE SCHEDULE, NEGATIVE IME, No Coverage, PEER",1
"FEE SCHEDULE, NEGATIVE IME, OUTSTANDING VR",1
"FEE SCHEDULE, NEGATIVE IME, OUTSTANDING VR, PEER",1
"FEE SCHEDULE, NEGATIVE IME, Peer Review",1
"FEE SCHEDULE, NEGATIVE IME, WORKERS COMP., Workers Compensation",1
"Fee Schedule, No Coverage",1
"FEE SCHEDULE, NO COVERAGE - INSURANCE COMPANY INCO",1
"FEE SCHEDULE, NO COVERAGE - NOT ELIGIBLE INJURED PERSON",1
"FEE SCHEDULE, NO COVERAGE - POLICY EXCLUSION",1
"FEE SCHEDULE, No Coverage, Peer Review",1
"FEE SCHEDULE, No Coverage, PEER, WORKERS COMP.",1
"FEE SCHEDULE, Not an Eligible Injured Person",1
"FEE SCHEDULE, NOT ELIGIBLE FOR BENEFITS",1
"FEE SCHEDULE, OUTSTANDING VR",1
"FEE SCHEDULE, OUTSTANDING VR, PEER",1
"FEE SCHEDULE, Peer Review, Verification Requests",1
"FEE SCHEDULE, Pharma Portion Denied : -, Policy Exhausted",1
"FEE SCHEDULE, Pharma Portion Denied : -, Workers Compensation",1
"FEE SCHEDULE, PPO CONTRACT, RVU Cap",1
"FEE SCHEDULE, PPO UNPAID",1
"FEE SCHEDULE, Provider Incorrect",1
"FEE SCHEDULE, Verification Requests",1
"Fee Schedule, Workers Compensation",1
"IME Cut Off,  IME CUTOFF,  IME Denial",1
"IME Cut Off,  IME CUTOFF, FEE SCHEDULE",1
"IME Cut Off,  IME CUTOFF, IME Denial, MEDICAL NECESSITY - IME, PPO CONTRACT",1
"IME Cut Off, 12 unit rule, IME CUTOFF",1
"IME Cut Off, FEE SCHEDULE, IME CUTOFF, IME Denial, PPO CONTRACT",1
"IME CUT OFF, IME CUTOFF, IME Denial",1
"IME CUT OFF, IME CUTOFF, Peer Review",1
"IME Cut Off, IME CUTOFF, PPO CONTRACT",1
"IME Cut Off, IME Denial, MEDICAL NECESSITY - IME, PPO CONTRACT",1
"IME Cut Off, IME Denial, PPO CONTRACT",1
"IME CUT OFF, IME No Show",1
"IME Cut Off, MEDICAL NECESSITY - IME",1
"IME Cut Off, PPO CONTRACT",1
"IME CUTOFF GENERAL DENIAL, NO COVERAGE - POLICY EXHAUSTED",1
"IME CUTOFF GENERAL DENIAL, Policy Exhausted",1
"IME CUTOFF GENERAL DENIAL, PROCEDURE CODE BILLED I",1
"IME CUTOFF,  IME Denial, FEE SCHEDULE, Policy Exhausted",1
"IME CUTOFF,  IME No Show, IME NO-SHOW",1
"IME CUTOFF, FEE SCHEDULE, Policy Exhausted",1
"IME CUTOFF, IME CUTOFF, IME Denial, MEDICAL NECESSITY - IME, PPO CONTRACT",1
"IME CUTOFF, IME Denial, MEDICAL NECESSITY - IME, PPO CONTRACT",1
"IME CUTOFF, IME Denial, PEER",1
"IME CUTOFF, IME Denial, Policy Exhausted General D",1
"IME CUTOFF, MATERIAL MISREPRESENTATION",1
"IME CUTOFF, MEDICAL NECESSITY",1
"IME CUTOFF, MEDICAL NECESSITY - IME",1
"IME CUTOFF, NO CAUSAL RELATIONSHIP",1
"IME CUTOFF, NO COVERAGE - POLICY EXHAUSTED",1
"IME CUTOFF, No Denial Issued, Peer Review",1
"IME CUTOFF, NOT ELIGIBLE FOR BENEFITS",1
"IME CUTOFF, PEER",1
"IME CUTOFF, Workers Compensation",1
"IME Denial,  NEGATIVE IME",1
"IME Denial, IME CUTOFF GENERAL DENIAL",1
"IME Denial, IME Denial, Policy Exhausted",1
"IME Denial, IME NO-SHOW",1
"IME Denial, MEDICAL NECESSITY - IME",1
"IME Denial, NEGATIVE IME, No Denial Issued",1
"IME Denial, NO CAUSAL RELATIONSHIP",1
"IME Denial, NO COVERAGE - POLICY EXHAUSTED",1
"IME Denial, PPO CONTRACT",1
"IME No Show General Denial, Policy Exhausted General Denial",1
"IME No Show, EUO NO-SHOW",1
"IME No Show, No Coverage",1
"IME No Show, Workers Compensation",1
"IME NO-SHOW, MEDICAL NECESSITY",1
"IME NO-SHOW, Pharma Portion Denied : -",1
Improper Billing,1
"Improper CPT code, RVU Cap",1
"INCORRECT CARRIER, Peer Review",1
INCORRECT DOL,1
"INCORRECT INSURANCE COMPANY , No Coverage",1
"INELIGIBLE FOR BENEFITS, No Coverage",1
"INELIGIBLE FOR BENEFITS, Peer Review",1
INSURANCE CARRIER,1
"INVESTIGATION PENDING, Not an Eligible Injured Person",1
"INVESTIGATION PENDING, POLICY VIOLATION - 120-DAY RULE",1
"INVESTIGATION PENDING, POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT",1
"INVESTIGATION, MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENTATION",1
LATE DENIAL,1
"LATE DENIAL, No Coverage",1
"MATERIAL MISREPRESENTATION, Not an Eligible Injure",1
"MATERIAL MISREPRESENTATION, NOT RELATED TO THE ACCIDENT",1
"MATERIAL MISREPRESENTATION, NOT RELATED TO THE ACCIDENT, Workers Compensation",1
"MATERIAL MISREPRESENTATION, POLICY VIOLATION - EUO NO-SHOW OF THE PROVIDER",1
"MATERIAL MISREPRESENTATION, Verification Requests",1
"MEDICAL NECESSITY - IME, MEDICAL NECESSITY - IME",1
"MEDICAL NECESSITY - IME, MEDICAL NECESSITY - PEER REVIEW",1
"MEDICAL NECESSITY - IME, MEDICALLY UNNECESSARY",1
"MEDICAL NECESSITY - IME, NO COVERAGE - POLICY EXHAUSTED",1
"MEDICAL NECESSITY - IME, Pharma Portion Denied : -",1
"MEDICAL NECESSITY - IME, POLICY VIOLATION - IME NO",1
"MEDICAL NECESSITY - IME, POLICY VIOLATION - IME NO-SHOW",1
"MEDICAL NECESSITY - PEER REVIEW, NOT RELATED TO THE ACCIDENT",1
"MEDICAL NECESSITY - PEER REVIEW, Peer Review",1
"MEDICAL NECESSITY, No Coverage",1
"MEDICAL NECESSITY, Peer Review",1
"NEGATIVE IME, FEE SCHEDULE",1
"NEGATIVE IME, Peer Review",1
"NEGATIVE IME, POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT",1
"NEGATIVE IME, TIMELY DENIAL",1
"NO CAUSAL RELATIONSHIP, Peer Review",1
"NO COVERAGE - IN ELIGIBLE FOR BENEFITS, NO COVERAG",1
"NO COVERAGE - IN ELIGIBLE FOR BENEFITS, POLICY VIOLATION - NON-COOPERATION",1
"NO COVERAGE - INELIGIBLE FOR BENEFITS : -, Pharma Portion Denied : -",1
"NO COVERAGE - INELIGIBLE FOR BENEFITS : NO COVERAGE - INELIGIBLE FOR BENEFITS, NO COVERAGE - POLICY CANCELLED",1
"NO COVERAGE - MOTOR CYCLE ACCIDENT, Peer Review",1
"NO COVERAGE - MOTOR CYCLE ACCIDENT, Pharma Portion Denied : -",1
"NO COVERAGE - MOTOR CYCLE ACCIDENT, POLICY WAS NOT IN FORCE FOR ACCIDENT",1
"NO COVERAGE - NOT ELIGIBLE INJURED PERSON,  Pharma Portion Denied : -, Agreement with carrier, IME No Show",1
"NO COVERAGE - NOT ELIGIBLE INJURED PERSON,  Pharma Portion Denied : -, DUPLICATE",1
"NO COVERAGE - NOT ELIGIBLE INJURED PERSON, POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT",1
NO COVERAGE - POLICY CANCELLED,1
"NO COVERAGE - POLICY EXHAUSTED, Policy Exhausted General Denial",1
"No Coverage, POLICY EXCLUSION",1
"No Coverage, Policy Exhausted",1
"NOT ELIGIBLE FOR BENEFITS, Peer Review",1
"NOT RELATED TO THE ACCIDENT, Peer Review",1
PARTIAL PAY,1
"Partially paid but EOR not received : Partially paid but EOR not received,  Pharma Portion Denied : -, Pharma Portion Denied : -",1
"Partially paid but EOR not received : Partially paid but EOR not received,  POLICY VIOLATION - IME NO SHOW, POLICY VIOLATION - IME NO SHOW",1
"Partially paid but EOR not received : Partially paid but EOR not received, 120 DAYS RULE",1
"Partially paid but EOR not received : Partially paid but EOR not received, FEE SCHEDULE : FEE SCHEDULE, Partially paid but EOR not received",1
"Partially paid but EOR not received : Partially paid but EOR not received, FULLY PAID AS PER EOB : FULLY PAID AS PER EOB",1
"Partially paid but EOR not received, Pharma Portion Denied : -",1
"Peer Review, DUPLICATE, Pharma Portion Denied : -",1
"Peer Review, IME Denial",1
"Peer Review, Workers Compensation",1
"PEER, WORKERS COMP.",1
"PENDING PATIENT EUO, Policy Exhausted",1
pending the recipt of cpmpleted nf-2,1
"Pharma Portion Denied : -,  POLICY VIOLATION - 120-DAY RULE, Pharma Portion Denied : -, POLICY VIOLATION - 120-DAY RULE",1
"Pharma Portion Denied : -, 120 DAYS RULE, Improper licensure, Pharma Portion Denied : -",1
"Pharma Portion Denied : -, Agreement with carrier, IME No Show, NO COVERAGE - POLICY EXHAUSTED",1
"Pharma Portion Denied : -, Agreement with carrier, IME No Show, POLICY VIOLATION - IME NO SHOW",1
"Pharma Portion Denied : -, DUPLICATE",1
"Pharma Portion Denied : -, DUPLICATE, Pharma Portion Denied : -",1
"Pharma Portion Denied : -, EUO NO-SHOW",1
"Pharma Portion Denied : -, IME No Show",1
"Pharma Portion Denied : -, Improper licensure, Pharma Portion Denied : -",1
"Pharma Portion Denied : -, MATERIAL MISREPRESENTATION : MATERIAL MISREPRESENTATION",1
"Pharma Portion Denied : -, MEDICAL NECESSITY - IME",1
"Pharma Portion Denied : -, NO COVERAGE - IN ELIGIBLE FOR BENEFITS",1
"Pharma Portion Denied : -, NO COVERAGE - INELIGIBLE FOR BENEFITS : -",1
"Pharma Portion Denied : -, NO COVERAGE - MOTOR CYCLE ACCIDENT, Pharma Portion Denied : -",1
"Pharma Portion Denied : -, Pharma Portion Denied :",1
"Pharma Portion Denied : -, Pharma Portion Denied : -, POLICY VIOLATION - 120-DAY RULE",1
"Pharma Portion Denied : -, Policy Exhausted",1
"Pharma Portion Denied : -, POLICY VIOLATION - 120-",1
"Policy Exhausted, POLICY VIOLATION - IME NO-SHOW",1
"Policy Exhausted, PPO CONTRACT",1
POLICY NOT IN FORCE ON DATE OF ACCIDENT : POLICY N,1
POLICY NOT IN FORCE ON DATE OF ACCIDENT:POLICY NOT IN FORCE ON DATE OF ACCIDENT,1
"POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT, POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT",1
"POLICY VIOLATION - EUO NO-SHOW OF THE PATIENT, POLICY VIOLATION - IME NO-SHOW",1
"POLICY VIOLATION - IME NO SHOW, IME No Show General Denial",1
"POLICY VIOLATION - IME NO SHOW, Pharma Portion Denied : -",1
POLICY VIOLATION : -,1
POLICY WAS NOT IN FORCE FOR ACCIDENT,1
PPO UNPAID,1
Provider Incorrect,1
Treatment plan not consistent,1
TREATMENT PROVIDED WAS NOT BASED ON CORRECT APPLICATION OF THE GUIDELINE,1
Variance not obtained,1
"WORKERS COMP., Workers Compensation",1
